ID	xref	page_num	fig_num	accession	iupac	composition	wurcs	url
G1.1	None	2	1	G03833LE	Man?1-?(Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(3)	WURCS=2.0/2,5,4/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2/a?-b1_b?-c1_c?-d1_c?-e1	http://0.0.0.0:10982/result/6pz7mf5dhs#glycan-0-1
G1.2	None	2	1	G27815BZ	Man?1-?(Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(2)Fuc(1)Man(3)	WURCS=2.0/3,6,5/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-2-3/a?-b1_a?-f1_b?-c1_c?-d1_c?-e1	http://0.0.0.0:10982/result/6pz7mf5dhs#glycan-0-2
G1.3	None	2	1	G78607HP	GlcNAc?1-?Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(4)Man(3)	WURCS=2.0/2,7,6/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-1-2-1/a?-b1_b?-c1_c?-d1_c?-f1_d?-e1_f?-g1	http://0.0.0.0:10982/result/6pz7mf5dhs#glycan-0-3
G1.4	None	2	1	G78607HP	GlcNAc?1-?Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(4)Man(3)	WURCS=2.0/2,7,6/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-1-2-1/a?-b1_b?-c1_c?-d1_c?-f1_d?-e1_f?-g1	http://0.0.0.0:10982/result/6pz7mf5dhs#glycan-0-4
G1.5	None	2	1	G72398VP	GlcNAc?1-?Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(4)Fuc(1)Man(3)	WURCS=2.0/3,8,7/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-1-2-1-3/a?-b1_a?-h1_b?-c1_c?-d1_c?-f1_d?-e1_f?-g1	http://0.0.0.0:10982/result/6pz7mf5dhs#glycan-0-5
G1.6	None	2	1	G78214BJ	Man?1-?Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(3)Fuc(1)Man(4)	WURCS=2.0/3,8,7/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-1-2-2-3/a?-b1_a?-h1_b?-c1_c?-d1_c?-f1_d?-e1_f?-g1	http://0.0.0.0:10982/result/6pz7mf5dhs#glycan-0-6
G1.7	None	2	1	G73636FD	Man?1-?(Man?1-?)Man?1-?(Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(5)	WURCS=2.0/2,7,6/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2-2-2/a?-b1_b?-c1_c?-d1_c?-g1_d?-e1_d?-f1	http://0.0.0.0:10982/result/6pz7mf5dhs#glycan-0-7
G1.8	None	2	1	G43463XA	Man?1-?(Man?1-?)Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(3)Man(5)	WURCS=2.0/2,8,7/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2-2-2-1/a?-b1_b?-c1_c?-d1_c?-g1_d?-e1_d?-f1_g?-h1	http://0.0.0.0:10982/result/6pz7mf5dhs#glycan-0-8
G1.9	None	2	1	G72398VP	GlcNAc?1-?Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(4)Fuc(1)Man(3)	WURCS=2.0/3,8,7/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-1-2-1-3/a?-b1_a?-h1_b?-c1_c?-d1_c?-f1_d?-e1_f?-g1	http://0.0.0.0:10982/result/6pz7mf5dhs#glycan-0-9
G1.10	None	2	1	G64780OA	Man?1-?(Man?1-?)Man?1-?(Man?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(6)	WURCS=2.0/2,8,7/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2-2-2-2/a?-b1_b?-c1_c?-d1_c?-g1_d?-e1_d?-f1_g?-h1	http://0.0.0.0:10982/result/6pz7mf5dhs#glycan-0-10
G1.11	None	2	1		GlcNAc?1-?(Gal?1-?GlcNAc?1-?Man?1-?(Gal?1-?GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?)GlcNAc	GlcNAc(5)Man(3)Gal(2)		http://0.0.0.0:10982/result/6pz7mf5dhs#glycan-0-11
G1.12	None	2	1			GlcNAc(3)Man(2)Gal(1)		http://0.0.0.0:10982/result/6pz7mf5dhs#glycan-0-12
