ID	xref	page_num	fig_num	accession	iupac	composition	wurcs	url
G5.1	None	5	5	G72398VP	GlcNAc?1-?Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(4)Fuc(1)Man(3)	WURCS=2.0/3,8,7/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-1-2-1-3/a?-b1_a?-h1_b?-c1_c?-d1_c?-f1_d?-e1_f?-g1	http://0.0.0.0:10982/result/zr5pazgcnu#glycan-4-1
G5.2	None	5	5	G67480NQ	Gal?1-?GlcNAc?1-?Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(4)Fuc(1)Man(3)Gal(1)	WURCS=2.0/4,9,8/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-1-3-2-1-4/a?-b1_a?-i1_b?-c1_c?-d1_c?-g1_d?-e1_e?-f1_g?-h1	http://0.0.0.0:10982/result/zr5pazgcnu#glycan-4-2
G5.3	None	5	5	G27658AJ	Gal?1-?GlcNAc?1-?Man?1-?(Gal?1-?GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(4)Fuc(1)Man(3)Gal(2)	WURCS=2.0/4,10,9/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-1-3-2-1-3-4/a?-b1_a?-j1_b?-c1_c?-d1_c?-g1_d?-e1_e?-f1_g?-h1_h?-i1	http://0.0.0.0:10982/result/zr5pazgcnu#glycan-4-3
G5.4	None	5	5	G78607HP	GlcNAc?1-?Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(4)Man(3)	WURCS=2.0/2,7,6/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-1-2-1/a?-b1_b?-c1_c?-d1_c?-f1_d?-e1_f?-g1	http://0.0.0.0:10982/result/zr5pazgcnu#glycan-4-4
G5.5	None	5	5	G02654ED	Gal?1-?GlcNAc?1-?Man?1-?(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(4)Man(3)Gal(1)	WURCS=2.0/3,8,7/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5]/1-1-2-2-1-3-2-1/a?-b1_b?-c1_c?-d1_c?-g1_d?-e1_e?-f1_g?-h1	http://0.0.0.0:10982/result/zr5pazgcnu#glycan-4-5
G5.6	None	5	5	G23934NS	Gal?1-?GlcNAc?1-?Man?1-?(Gal?1-?GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(4)Man(3)Gal(2)	WURCS=2.0/3,9,8/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5]/1-1-2-2-1-3-2-1-3/a?-b1_b?-c1_c?-d1_c?-g1_d?-e1_e?-f1_g?-h1_h?-i1	http://0.0.0.0:10982/result/zr5pazgcnu#glycan-4-6
G5.7	None	5	5	G86821NY	GlcNAc?1-?Man?1-?(GlcNAc?1-?)(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(5)Fuc(1)Man(3)	WURCS=2.0/3,9,8/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-1-2-1-1-3/a?-b1_a?-i1_b?-c1_c?-d1_c?-f1_c?-h1_d?-e1_f?-g1	http://0.0.0.0:10982/result/zr5pazgcnu#glycan-4-7
G5.8	None	5	5	G47133WV	Gal?1-?GlcNAc?1-?Man?1-?(GlcNAc?1-?)(GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(5)Fuc(1)Man(3)Gal(1)	WURCS=2.0/4,10,9/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-1-3-2-1-1-4/a?-b1_a?-j1_b?-c1_c?-d1_c?-g1_c?-i1_d?-e1_e?-f1_g?-h1	http://0.0.0.0:10982/result/zr5pazgcnu#glycan-4-8
G5.9	None	5	5	G27860IO	Gal?1-?GlcNAc?1-?Man?1-?(GlcNAc?1-?)(Gal?1-?GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(5)Fuc(1)Man(3)Gal(2)	WURCS=2.0/4,11,10/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][a1221m-1x_1-5]/1-1-2-2-1-3-2-1-3-1-4/a?-b1_a?-k1_b?-c1_c?-d1_c?-g1_c?-j1_d?-e1_e?-f1_g?-h1_h?-i1	http://0.0.0.0:10982/result/zr5pazgcnu#glycan-4-9
G5.10	None	5	5	G21530HL	GlcNAc?1-?Man?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(4)NeuAc(1)Fuc(1)Man(3)Gal(1)	WURCS=2.0/5,10,9/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-2-1-5/a?-b1_a?-j1_b?-c1_c?-d1_c?-h1_d?-e1_e?-f1_f?-g2_h?-i1	http://0.0.0.0:10982/result/zr5pazgcnu#glycan-4-10
G5.11	None	5	5	G32340DX	Gal?1-?GlcNAc?1-?Man?1-?(NeuAc?2-?Gal?1-?GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?(Fuc?1-?)GlcNAc	GlcNAc(4)NeuAc(1)Fuc(1)Man(3)Gal(2)	WURCS=2.0/5,11,10/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5][Aad21122h-2x_2-6_5*NCC/3=O][a1221m-1x_1-5]/1-1-2-2-1-3-4-2-1-3-5/a?-b1_a?-k1_b?-c1_c?-d1_c?-h1_d?-e1_e?-f1_f?-g2_h?-i1_i?-j1	http://0.0.0.0:10982/result/zr5pazgcnu#glycan-4-11
