ID	xref	page_num	fig_num	accession	iupac	composition	wurcs	url
G3.1	None	8	3	G03833LE	Man?1-?(Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(3)	WURCS=2.0/2,5,4/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2/a?-b1_b?-c1_c?-d1_c?-e1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-2-1
G3.2	None	8	3		GlcNAc?1-?GlcNAc?1-?Fuc	GlcNAc(2)Fuc(1)		http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-2-2
G3.3	None	8	3	G53892NW	Man?1-?(GlcNAc?1-?)(Man?1-?)Man	GlcNAc(1)Man(3)	WURCS=2.0/2,4,3/[a1122h-1x_1-5][a2122h-1x_1-5_2*NCC/3=O]/1-2-1-1/a?-b1_a?-c1_a?-d1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-2-3
G3.4	None	8	3	G64780OA	Man?1-?(Man?1-?)Man?1-?(Man?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(2)Man(6)	WURCS=2.0/2,8,7/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5]/1-1-2-2-2-2-2-2/a?-b1_b?-c1_c?-d1_c?-g1_d?-e1_d?-f1_g?-h1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-2-4
G3.5	None	8	3		GlcNAc?1-?Man?1-?Man?1-?Man?1-?GlcNAc	GlcNAc(2)Man(3)		http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-2-5
G3.6	None	8	3	G90872DS	Man?1-?(Man?1-?)Man?1-?(GlcNAc?1-?Gal?1-?GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(4)Man(5)Gal(1)	WURCS=2.0/3,10,9/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5]/1-1-2-2-1-3-1-2-2-2/a?-b1_b?-c1_c?-d1_c?-h1_d?-e1_e?-f1_f?-g1_h?-i1_h?-j1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-2-6
G3.7	None	8	3		GlcNAc?1-?(GlcNAc?1-?(GlcNAc?1-?)Man?1-?Man?1-?)Man	GlcNAc(3)Man(3)		http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-2-7
G3.8	None	8	3	G38695AD	GlcNAc?1-?Gal?1-?GlcNAc?1-?Man?1-?(GlcNAc?1-?Gal?1-?GlcNAc?1-?Man?1-?)Man?1-?GlcNAc?1-?GlcNAc	GlcNAc(6)Man(3)Gal(2)	WURCS=2.0/3,11,10/[a2122h-1x_1-5_2*NCC/3=O][a1122h-1x_1-5][a2112h-1x_1-5]/1-1-2-2-1-3-1-2-1-3-1/a?-b1_b?-c1_c?-d1_c?-h1_d?-e1_e?-f1_f?-g1_h?-i1_i?-j1_j?-k1	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-2-8
G3.9	None	8	3		NeuGc?2-?(GlcNAc?1-?)Man?1-?(GlcNAc?1-?(GlcNAc?1-?)Man?1-?)Man	GlcNAc(3)Man(3)NeuGc(1)		http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-2-9
G3.10	None	8	3	G92400JZ	NeuAc?2-?GalNAc?1-?GlcNAc	GlcNAc(1)NeuAc(1)GalNAc(1)	WURCS=2.0/3,3,2/[a2122h-1x_1-5_2*NCC/3=O][a2112h-1x_1-5_2*NCC/3=O][Aad21122h-2x_2-6_5*NCC/3=O]/1-2-3/a?-b1_b?-c2	http://0.0.0.0:10981/result/4gxmyr7bgw#glycan-2-10
